PRINCIPIO ATIVO,CNPJ,LABORATORIO,REGISTRO,EAN,PRODUTO,APRESENTACAO,CLASSE TERAPEUTICA,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%
CLORIDRATO DE TIZANIDINA,05.399.786/0001-85,UNICHEM FARMACEUTICA DO BRASIL LTDA,1564900080012,7898912189912,CLORIDRATO DE TIZANIDINA,2 MG COM CT BL AL PLAS INC X 30,M03B0 - RELAXANTE MUSCULAR DE ACAO CENTRAL,24.68,28.41,30.31,27.37,30.52,27.54,30.72,27.7,31.59
CLORIDRATO DE TOPOTECANA,64.171.697/0001-46,ACCORD FARMACEUTICA LTDA,1553700290018,7898947385228,CLORIDRATO DE TOPOTECANA,4 MG PO LIOF SOL INJ CT FA VD TRANS X 5 ML,L01C3 - AGENTES ANTINEOPLASICOS CAMPTOTECINAS,976.74,1109.92,1176.79,1176.79,1183.92,1183.92,1191.14,1191.14,1220.92
CLORIDRATO DE TRAMADOL,55.980.684/0001-27,ZODIAC PRODUTOS FARMACEUTICOS S/A,1221400710065,7892953001332,PARATRAM,"37,5 MG + 325 MG COM CT BL AL PLAS INC X 30",N02A0 - ANALGESICOS NARCOTICOS,64.56,74.3,79.27,71.57,79.81,72.01,80.35,72.44,82.6
CLORIDRATO DE TRAZODONA,33.078.528/0001-32,TORRENT DO BRASIL LTDA,1052500590077,8902220116177,CLORIDRATO DE TRAZODONA,100 MG COM CT BL AL AL X 30,N06A9 - ANTI-DEPRES.TOD.OUTROS,42.77,48.61,51.54,51.54,51.84,51.84,52.16,52.16,53.46
CLORIDRATO DE TRIEXIFENIDIL,62.462.015/0001-29,APSEN FARMACEUTICA S/A,1011806040018,7896637018012,ARTANE,2 MG COM CT BL AL PLAS INC X 30,N04A0 - AANTIPARKINSONIANOS,8.79,9.98,10.59,10.59,10.64,10.64,10.71,10.71,10.98
CLORIDRATO DE TROMANTADINA,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049713250011,7896006212904,HERPEX,10MG/G GEL CT BG AL X 10G,D06D1 - ANTIVIRAIS TOPICOS,33.01,37.99,40.53,36.59,40.8,36.81,41.09,37.05,42.23
CLORIDRATO DE VALACICLOVIR,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905080017,7896004745053,HERPSTAL,500 MG COM REV CT BL AL PLAS LEIT X 10,J05B3 - ANTIVIRAIS PARA HERPES,131.86,149.84,158.87,158.87,159.82,159.82,160.81,160.81,164.83
CLORIDRATO DE VANCOMICINA,05.439.635/0001-03,ANTIBIOTICOS DO BRASIL LTDA,1556200050047,7898901848455,VANCOCINA CP,1 G PO LIOF INJ CX 25 FA VD INC,J01X1 - ANTIBIOTICOS GLUCOPEPTIDEOS,1691.33,1921.97,2037.75,2037.75,2050.11,2050.11,2062.6,2062.6,2114.17
CLORIDRATO DE VARDENAFILA,18.459.628/0001-15,BAYER S.A.,1705600340237,7891106904872,LEVITRA,10 MG COM OROD CT BL AL AL X 1,"G04E1 - PRODUTOS PARA DISFUNCAO ERETIL, INIBIDORES DA PDE5",26.52,30.51,32.56,29.39,32.78,29.57,33,29.75,33.93
CLORIDRATO DE VENLAFAXINA,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1677300680106,7894916146036,CLORIDRATO DE VENLAFAXINA,"37,5 MG CAP GEL DURA LIB PROL CT BL PLAS OPC X 30",N06A5 - ANTI-DEPRESSIVOS SNRI,74.03,84.12,89.18,89.18,89.72,89.72,90.27,90.27,92.53
CLORIDRATO DE VERAPAMIL,57.507.378/0001-01,EMS S/A,1023506260091,7896004707310,CLOR. VERAPAMIL,80 MG COM REV CT BL AL PLAS BCO LEIT X 30,C08A0 - ANTAGONISTAS DO CALCIO PUROS,20.7,23.52,24.94,24.94,25.09,25.09,25.24,25.24,25.88
CLORIDRATO DE VERNACALANTO,45.987.013/0001-34,MERCK SHARP & DOHME FARMACEUTICA  LTDA,1002901830021,7897337708319,BRINAVESS,20 MG/ML SOL INJ CT FR VD INC X 25 ML,C01B0 - ANTIARRITMICOS CARDIACOS,29.43,33.86,36.14,32.63,36.38,32.82,36.63,33.03,37.65
CLORIDRATO DE XILOMETAZOLINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800840024,7896261000704,OTRIVINA,1 MG/G GEL NASAL CT BG AL X 10 G,R01A7 - DESCONGESTIONANTES NASAIS,8.2,9.43,10.06,9.1,10.14,9.15,10.21,9.21,10.49
CLORIDRATO DE ZIPRASIDONA MONOIDRATADO,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021600660050,7891268114706,GEODON,40 MG CAP GEL DURA CT BL AL/AL X 14,N05A1 - ANTIPSICOTICOS ATIPICOS,157.43,178.9,189.68,189.68,190.83,190.83,191.99,191.99,196.79
CLORPROPAMIDA,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021600100128,7891268129908,DIABINESE,250 MG COM CT BL AL PLAS INC X 100 ,A10H0 - ANTIDIABETICOS SULFONILOUREIAS PUROS,43.64,49.59,52.59,52.59,52.91,52.91,53.22,53.22,54.55
CLORTALIDONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800670047,7896261000506,HIGROTON,"12,5 MG COM CT BL AL PLAS INC X 42",C03A3 - DIURETICOS TIAZIDAS E ANALOGOS PUROS,12.32,14,14.85,14.85,14.93,14.93,15.03,15.03,15.4
CLOTRIMAZOL,18.459.628/0001-15,BAYER S.A.,1705601020090,7891106001755,GINO-CANESTEN,500 MG COM VAG CT BL AL/AL 1 + APLIC,G01B0 - ANTIFUNGICOS GINECOLOGICOS,52.53,60.44,64.5,58.23,64.94,58.59,65.38,58.95,67.2
CLOXAZOLAM,14.806.008/0001-54,MOMENTA FARMACEUTICA LTDA.,1942700100014,7899640803989,EUTONIS,1 MG COM CT STR AL X 20,N05C0 - TRANQUILIZANTES,15.08,17.14,18.18,18.18,18.29,18.29,18.4,18.4,18.86
CLOZAPINA,44.734.671/0001-51,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.,1029803780056,7896676405026,CLOZAPINA,100 MG COM CT BL AL PLAS TRANS X 30,N05A1 - ANTIPSICOTICOS ATIPICOS,145.25,165.06,175.02,175.02,176.07,176.07,177.15,177.15,181.57
